leaf_categ_id	site_id	gpc_id
157066	2	916
40947	0	531
45228	15	1604
106131	0	1604
108621	0	7347
58352	0	280
168166	2	5865
157069	100	916
4762	0	3893
361	2	2418
50731	101	414
134649	2	4491
146378	3	2669
15758	15	207
79764	0	499890
41210	2	499879
11777	15	500087
15276	15	499702
441	3	1259
97042	3	499769
43504	100	3561
48299	3	505370
2337	2	3865
43728	0	245
20712	186	500004
43213	0	6463
3297	0	8025
113723	2	112
51090	0	385
33932	0	269
11039	15	1270
105441	2	212
41452	2	7101
45158	2	217
133703	0	505765
67516	2	479
3630	0	1470
95264	0	5970
2305	101	8
30671	101	6000
15734	2	7281
37649	0	1084
164111	0	3515
109256	2	8134
55421	0	216
20202	0	216
6166	100	916
17734	186	219
103443	2	984
46124	186	5863
179770	2	499769
152830	2	5122
99231	101	7349
160745	2	503758
10130	100	916
15630	101	173
162118	2	44
20345	3	2353
79774	0	7000
67319	2	1562
20084	15	216
16502	15	503758
165647	0	4471
55966	2	1084
46277	0	6071
64400	2	7282
116224	2	135
5358	2	916
146061	2	7081
139965	0	217
20791	15	2202
52461	0	1772
160726	0	505373
70380	0	1074
4757	3	5831
6987	100	916
81473	0	7178
79624	2	605
3458	0	217
73949	0	3116
48527	101	3580
82255	0	8016
10846	2	5
37693	0	3060
3364	71	217
162205	0	217
79001	71	149
175611	2	2528
146105	2	6407
14918	0	3580
31610	2	503747
159806	15	7493
108603	101	4737
11581	0	1604
110922	0	192
4743	186	5831
181175	186	2797
58243	2	7531
84151	2	5863
26280	0	191
1636	2	1259
162225	0	217
33861	2	5504
11070	71	149
63979	0	112
133068	0	1084
91579	71	5831
155289	2	216
181375	15	1013
180341	186	6000
60171	0	4986
116388	2	5
85895	2	4634
99231	2	7349
78161	2	1084
110635	15	191
97139	0	1470
6301	2	916
182027	3	1604
80288	0	5300
21691	77	5777
20512	15	499908
163829	15	8156
164377	2	5122
30104	0	499978
38342	0	0
163985	2	218
87091	0	6314
67607	0	2904
3488	3	219
159775	0	479
943	3	3893
2629	15	5970
34213	100	916
4739	2	217
168093	15	505797
35900	2	216
123791	3	0
179773	0	499726
1395	2	3893
97681	0	5123
109120	186	499694
27280	2	6997
92793	0	192
36064	0	3893
1345	3	216
50880	0	4669
39497	0	5724
67286	77	287
37847	0	216
6491	100	916
180303	71	6000
36546	2	3584
117533	0	6404
2140	0	188
10308	2	5122
47940	15	7494
92875	2	6463
159452	3	4564
43690	2	503747
16515	2	6270
531	3	217
55936	0	1074
20543	77	628
31624	0	4149
36036	0	3893
108722	0	3599
70383	2	1074
71113	0	5917
37988	2	6740
43666	0	245
55809	2	7499
180912	77	4387
168031	2	499979
92876	2	6463
15232	2	149
26424	3	6407
175769	71	184
140719	2	8233
150086	0	6540
22420	0	6449
155823	2	149
6254	2	916
41653	0	8
181209	3	503038
83058	2	3191
50413	0	6478
15247	0	149
51920	0	204
55979	2	1084
104194	2	7097
30086	2	503018
