leaf_categ_id,site_id,move_to,leaf_categ_name
101617,0,101617,"Toys & Hobbies:Electronic, Battery & Wind-Up:Electronic & Interactive:Video Now:PVDs"
101618,0,38292,Toys & Hobbies:Trading Card Games:Magic the Gathering:Individual Cards:Betrayers of Kamigawa
101619,0,38292,Toys & Hobbies:Trading Card Games:Magic the Gathering:Individual Cards:Champions of Kamigawa
10161,0,88433,Partner:ABC
101620,0,38292,Toys & Hobbies:Trading Card Games:Magic the Gathering:Individual Cards:Chronicles
101621,0,38292,Toys & Hobbies:Trading Card Games:Magic the Gathering:Individual Cards:Darksteel
101622,0,38292,Toys & Hobbies:Trading Card Games:Magic the Gathering:Individual Cards:Fifth Dawn
101623,0,38292,Toys & Hobbies:Trading Card Games:Magic the Gathering:Individual Cards:Homelands
101624,0,38292,Toys & Hobbies:Trading Card Games:Magic the Gathering:Individual Cards:Mercadian Masques
101625,0,38292,Toys & Hobbies:Trading Card Games:Magic the Gathering:Individual Cards:Portal
101626,0,38292,Toys & Hobbies:Trading Card Games:Magic the Gathering:Individual Cards:Unglued
101627,0,38292,Toys & Hobbies:Trading Card Games:Magic the Gathering:Individual Cards:Unhinged
101629,0,19198,"Toys & Hobbies:Robots, Monsters, Space Toys:Robots:Modern (1970-Now):Robosapien"
10162,0,88433,Partner:ESPN
101630,0,19198,"Toys & Hobbies:Robots, Monsters, Space Toys:Robots:Modern (1970-Now):Sony Aibo"
101642,0,101642,Cameras & Photo:Vintage Movie & Photography:Vintage Lenses
101644,0,101644,Cameras & Photo:Vintage Movie & Photography:Vintage Cameras:Subminiature Cameras
10164,0,360,Art:Prints:1800-1899:Other
101659,0,101659,Pottery & Glass:Glass:Art Glass:French:Emile Galle
10165,0,360,Art:Prints:1800-1899:Architecture
101664,0,101664,Collectibles:Decorative Collectibles:Decorative Collectible Brands:Royal Doulton:Collector Plates
10166,0,360,Art:Prints:1800-1899:Botanical
10167,0,360,Art:Prints:1800-1899:Costume
101685,0,101685,"Sporting Goods:Outdoor Sports:Climbing & Caving:Clothing, Shoes & Accessories:Clothing"
101686,0,101686,Sporting Goods:Outdoor Sports:Climbing & Caving:Books & Video
10168,0,360,Art:Prints:1800-1899:Natural History
10169,0,360,Art:Prints:1800-1899:Portrait
1016,0,1016,Pottery & Glass:Glass:Glassware:Kitchen Glassware:Measuring Cups
10170,0,360,Art:Prints:1800-1899:Topographical
101717,0,27362,Sporting Goods:Outdoor Sports:Camping & Hiking:Clothing:Gloves
10171,0,38072,Musical Instruments & Gear:Guitar:Guitar Amplifiers:Electric
10172,0,622,Musical Instruments:Percussion
10173,0,10173,Musical Instruments & Gear:Percussion:Parts & Accessories:Other Percussion Parts & Accs
10174,0,41441,Musical Instruments & Gear:Percussion:Cymbals:Other
10175,0,10175,Musical Instruments & Gear:Percussion:Drums:Other Drums
101763,0,101763,Stamps:Great Britain:Postage Dues
10177,0,10177,Musical Instruments & Gear:String:Folk & World:Banjos
10178,0,10178,Musical Instruments & Gear:String:Orchestral:Cellos
10179,0,10179,Musical Instruments & Gear:String:Folk & World:Mandolins
1017,0,1017,Pottery & Glass:Glass:Glassware:Kitchen Glassware:Reamers
